Date,Open,High,Low,Close,Adj Close,Volume
2022-02-10,1.081923,1.083893,1.075778,1.081993,1.081993,0
2022-02-11,1.080100,1.081432,1.076936,1.080322,1.080322,0
2022-02-14,1.081373,1.082462,1.078749,1.081408,1.081408,0
2022-02-15,1.081654,1.083788,1.078528,1.081654,1.081654,0
2022-02-16,1.080509,1.084834,1.079844,1.080567,1.080567,0
2022-02-17,1.084952,1.088258,1.083694,1.085069,1.085069,0
2022-02-18,1.087193,1.087843,1.084975,1.087429,1.087429,0
2022-02-21,1.085958,1.093016,1.085128,1.085894,1.085894,0
2022-02-22,1.091977,1.092693,1.083694,1.092049,1.092049,0
2022-02-23,1.085222,1.090750,1.084810,1.085117,1.085117,0
2022-02-24,1.089883,1.090275,1.076751,1.090013,1.090013,0
2022-02-25,1.080264,1.083776,1.077366,1.080100,1.080100,0
2022-02-28,1.078958,1.090203,1.078028,1.079218,1.079218,0
2022-03-01,1.089847,1.092896,1.086708,1.089918,1.089918,0
2022-03-02,1.088850,1.090929,1.082333,1.088660,1.088660,0
2022-03-03,1.086260,1.089301,1.085128,1.086342,1.086342,0
2022-03-04,1.089681,1.090905,1.085835,1.089443,1.089443,0
2022-03-07,1.086661,1.087666,1.078656,1.086768,1.086768,0
2022-03-08,1.080731,1.081210,1.074714,1.080555,1.080555,0
2022-03-09,1.075847,1.080906,1.075500,1.075778,1.075778,0
2022-03-10,1.079319,1.080579,1.074379,1.079342,1.079342,0
2022-03-11,1.076021,1.076459,1.071168,1.075986,1.075986,0
2022-03-14,1.069782,1.072628,1.068091,1.069782,1.069782,0
2022-03-15,1.065791,1.066951,1.061887,1.065757,1.065757,0
2022-03-16,1.062903,1.064963,1.061008,1.062948,1.062948,0
2022-03-17,1.062112,1.069519,1.061887,1.062067,1.062067,0
2022-03-18,1.068376,1.071386,1.066030,1.068353,1.068353,0
2022-03-21,1.071857,1.075975,1.069439,1.071892,1.071892,0
2022-03-22,1.070687,1.073653,1.066678,1.070801,1.070801,0
2022-03-23,1.071478,1.073768,1.068799,1.071341,1.071341,0
2022-03-24,1.074414,1.075072,1.070435,1.074437,1.074437,0
2022-03-25,1.075894,1.079832,1.074310,1.075859,1.075859,0
2022-03-28,1.073802,1.074345,1.066087,1.073802,1.073802,0
2022-03-29,1.071042,1.075500,1.066815,1.071042,1.071042,0
2022-03-30,1.073941,1.084552,1.073883,1.073941,1.073941,0
2022-03-31,1.083459,1.087429,1.080135,1.083459,1.083459,0
2022-04-01,1.083201,1.084528,1.077784,1.083201,1.083201,0
2022-04-04,1.080030,1.081689,1.077551,1.080030,1.080030,0
2022-04-05,1.079680,1.082286,1.075975,1.079680,1.079680,0
2022-04-06,1.075732,1.075836,1.069587,1.075732,1.075732,0
2022-04-07,1.071754,1.073422,1.069908,1.071754,1.071754,0
2022-04-08,1.070114,1.071582,1.066906,1.070114,1.070114,0
2022-04-11,1.070389,1.074807,1.067099,1.070389,1.070389,0
2022-04-12,1.073768,1.076751,1.070205,1.073768,1.073768,0
